sez,cod_prov,cod_com,cogn,d_nasc,l_nasc,pos,tot_vot_lis,descr_lista,voti
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,FORZA ITALIA - PPE,14
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,TUTTA LECCE LISI,11
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,LEGA SALVINI PUGLIA,6
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,VOCE NAZIONALE,0
13,41,340,CIUCCI,19650716000000,NAPOLI,1,8,DIRITTI E CIVILTA' PER LECCE,8
13,41,340,SICULELLA,19851203000000,NARDO',3,5,MIND MENTI INDIPENDENTI,3
13,41,340,SICULELLA,19851203000000,NARDO',3,5,ARIA,2
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,FRATELLI D'ITALIA,45
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,IO SUD,37
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,LECCE FUTURA PALA,37
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,TUTTA LECCE LISI,31
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,PRIMA LECCE,24
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,FORZA ITALIA - PPE,21
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,11
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,LEGA SALVINI PUGLIA,9
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,MOVIMENTO REGIONE SALENTO,5
14,41,340,POLI IN BORTONE,19430825000000,LECCE,2,221,VOCE NAZIONALE,1
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,PARTITO DEMOCRATICO,55
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,LECCE CITTA' PUBBLICA,48
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,COSCIENZA CIVICA,36
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,AVANTI LECCE,22
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,NOI PER LECCE,20
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,SVEGLIA,17
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,MOVIMENTO 5 STELLE,14
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,9
14,41,340,SALVEMINI,19660604000000,LECCE,4,227,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,6
14,41,340,CIUCCI,19650716000000,NAPOLI,1,10,DIRITTI E CIVILTA' PER LECCE,10
14,41,340,SICULELLA,19851203000000,NARDO',3,3,ARIA,2
14,41,340,SICULELLA,19851203000000,NARDO',3,3,MIND MENTI INDIPENDENTI,1
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,PARTITO DEMOCRATICO,56
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,LECCE CITTA' PUBBLICA,42
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,COSCIENZA CIVICA,25
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,NOI PER LECCE,18
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,AVANTI LECCE,18
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,SVEGLIA,16
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,13
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,10
15,41,340,SALVEMINI,19660604000000,LECCE,4,207,MOVIMENTO 5 STELLE,9
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,FRATELLI D'ITALIA,45
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,PRIMA LECCE,30
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,IO SUD,25
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,TUTTA LECCE LISI,22
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,FORZA ITALIA - PPE,19
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,LECCE FUTURA PALA,19
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,11
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,LEGA SALVINI PUGLIA,8
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,MOVIMENTO REGIONE SALENTO,7
15,41,340,POLI IN BORTONE,19430825000000,LECCE,2,186,VOCE NAZIONALE,0
15,41,340,SICULELLA,19851203000000,NARDO',3,4,ARIA,3
15,41,340,SICULELLA,19851203000000,NARDO',3,4,MIND MENTI INDIPENDENTI,1
15,41,340,CIUCCI,19650716000000,NAPOLI,1,1,DIRITTI E CIVILTA' PER LECCE,1
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,PARTITO DEMOCRATICO,79
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,LECCE CITTA' PUBBLICA,44
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,COSCIENZA CIVICA,38
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,AVANTI LECCE,28
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,NOI PER LECCE,19
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,SVEGLIA,15
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,14
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,13
16,41,340,SALVEMINI,19660604000000,LECCE,4,260,MOVIMENTO 5 STELLE,10
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,FRATELLI D'ITALIA,40
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,IO SUD,36
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,PRIMA LECCE,34
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,MOVIMENTO REGIONE SALENTO,23
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,TUTTA LECCE LISI,15
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,FORZA ITALIA - PPE,13
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,LECCE FUTURA PALA,12
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,LEGA SALVINI PUGLIA,9
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,5
16,41,340,POLI IN BORTONE,19430825000000,LECCE,2,187,VOCE NAZIONALE,0
16,41,340,SICULELLA,19851203000000,NARDO',3,3,ARIA,3
16,41,340,SICULELLA,19851203000000,NARDO',3,3,MIND MENTI INDIPENDENTI,0
16,41,340,CIUCCI,19650716000000,NAPOLI,1,3,DIRITTI E CIVILTA' PER LECCE,3
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,FRATELLI D'ITALIA,55
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,42
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,IO SUD,39
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,MOVIMENTO REGIONE SALENTO,35
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,PRIMA LECCE,31
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,FORZA ITALIA - PPE,29
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,LECCE FUTURA PALA,25
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,TUTTA LECCE LISI,21
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,LEGA SALVINI PUGLIA,17
17,41,340,POLI IN BORTONE,19430825000000,LECCE,2,297,VOCE NAZIONALE,3
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,PARTITO DEMOCRATICO,69
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,COSCIENZA CIVICA,50
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,NOI PER LECCE,40
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,LECCE CITTA' PUBBLICA,32
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,SVEGLIA,29
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,23
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,AVANTI LECCE,21
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,MOVIMENTO 5 STELLE,13
17,41,340,SALVEMINI,19660604000000,LECCE,4,282,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,5
17,41,340,SICULELLA,19851203000000,NARDO',3,6,MIND MENTI INDIPENDENTI,5
17,41,340,SICULELLA,19851203000000,NARDO',3,6,ARIA,1
17,41,340,CIUCCI,19650716000000,NAPOLI,1,6,DIRITTI E CIVILTA' PER LECCE,6
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,PARTITO DEMOCRATICO,93
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,LECCE CITTA' PUBBLICA,34
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,COSCIENZA CIVICA,32
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,SVEGLIA,30
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,AVANTI LECCE,29
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,NOI PER LECCE,19
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,13
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,MOVIMENTO 5 STELLE,11
18,41,340,SALVEMINI,19660604000000,LECCE,4,271,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,10
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,FRATELLI D'ITALIA,63
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,IO SUD,37
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,PRIMA LECCE,32
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,MOVIMENTO REGIONE SALENTO,30
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,LEGA SALVINI PUGLIA,21
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,TUTTA LECCE LISI,21
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,20
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,LECCE FUTURA PALA,18
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,FORZA ITALIA - PPE,13
18,41,340,POLI IN BORTONE,19430825000000,LECCE,2,261,VOCE NAZIONALE,6
18,41,340,CIUCCI,19650716000000,NAPOLI,1,8,DIRITTI E CIVILTA' PER LECCE,8
18,41,340,SICULELLA,19851203000000,NARDO',3,1,MIND MENTI INDIPENDENTI,1
18,41,340,SICULELLA,19851203000000,NARDO',3,1,ARIA,0
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,LECCE FUTURA PALA,49
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,PRIMA LECCE,46
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,FRATELLI D'ITALIA,40
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,31
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,FORZA ITALIA - PPE,30
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,IO SUD,26
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,MOVIMENTO REGIONE SALENTO,22
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,LEGA SALVINI PUGLIA,21
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,TUTTA LECCE LISI,15
19,41,340,POLI IN BORTONE,19430825000000,LECCE,2,281,VOCE NAZIONALE,1
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,PARTITO DEMOCRATICO,75
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,COSCIENZA CIVICA,33
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,LECCE CITTA' PUBBLICA,32
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,AVANTI LECCE,24
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,NOI PER LECCE,20
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,SVEGLIA,15
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,10
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,MOVIMENTO 5 STELLE,10
19,41,340,SALVEMINI,19660604000000,LECCE,4,226,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,7
19,41,340,CIUCCI,19650716000000,NAPOLI,1,4,DIRITTI E CIVILTA' PER LECCE,4
19,41,340,SICULELLA,19851203000000,NARDO',3,4,ARIA,3
19,41,340,SICULELLA,19851203000000,NARDO',3,4,MIND MENTI INDIPENDENTI,1
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,FRATELLI D'ITALIA,50
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,FORZA ITALIA - PPE,40
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,IO SUD,34
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,LECCE FUTURA PALA,30
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,PRIMA LECCE,28
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,MOVIMENTO REGIONE SALENTO,23
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,19
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,TUTTA LECCE LISI,16
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,LEGA SALVINI PUGLIA,15
20,41,340,POLI IN BORTONE,19430825000000,LECCE,2,255,VOCE NAZIONALE,0
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,PARTITO DEMOCRATICO,52
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,COSCIENZA CIVICA,49
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,LECCE CITTA' PUBBLICA,25
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,AVANTI LECCE,24
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,NOI PER LECCE,19
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,MOVIMENTO 5 STELLE,12
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,9
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,SVEGLIA,9
20,41,340,SALVEMINI,19660604000000,LECCE,4,204,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,5
20,41,340,CIUCCI,19650716000000,NAPOLI,1,0,DIRITTI E CIVILTA' PER LECCE,0
20,41,340,SICULELLA,19851203000000,NARDO',3,1,MIND MENTI INDIPENDENTI,1
20,41,340,SICULELLA,19851203000000,NARDO',3,1,ARIA,0
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,LECCE CITTA' PUBBLICA,65
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,PARTITO DEMOCRATICO,65
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,COSCIENZA CIVICA,39
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,AVANTI LECCE,37
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,NOI PER LECCE,33
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,17
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,14
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,SVEGLIA,14
21,41,340,SALVEMINI,19660604000000,LECCE,4,294,MOVIMENTO 5 STELLE,10
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,FRATELLI D'ITALIA,56
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,IO SUD,47
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,PRIMA LECCE,42
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,FORZA ITALIA - PPE,22
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,TUTTA LECCE LISI,19
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,LECCE FUTURA PALA,17
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,LEGA SALVINI PUGLIA,16
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,MOVIMENTO REGIONE SALENTO,16
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,16
21,41,340,POLI IN BORTONE,19430825000000,LECCE,2,252,VOCE NAZIONALE,1
21,41,340,SICULELLA,19851203000000,NARDO',3,5,ARIA,3
21,41,340,SICULELLA,19851203000000,NARDO',3,5,MIND MENTI INDIPENDENTI,2
21,41,340,CIUCCI,19650716000000,NAPOLI,1,0,DIRITTI E CIVILTA' PER LECCE,0
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,LECCE FUTURA PALA,53
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,MOVIMENTO REGIONE SALENTO,52
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,IO SUD,44
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,PRIMA LECCE,39
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,35
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,FRATELLI D'ITALIA,30
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,FORZA ITALIA - PPE,20
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,LEGA SALVINI PUGLIA,15
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,VOCE NAZIONALE,5
22,41,340,POLI IN BORTONE,19430825000000,LECCE,2,298,TUTTA LECCE LISI,5
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,PARTITO DEMOCRATICO,44
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,COSCIENZA CIVICA,23
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,NOI PER LECCE,21
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,LECCE CITTA' PUBBLICA,14
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,MOVIMENTO 5 STELLE,14
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,AVANTI LECCE,12
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,SVEGLIA,7
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,4
22,41,340,SALVEMINI,19660604000000,LECCE,4,140,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,1
22,41,340,SICULELLA,19851203000000,NARDO',3,3,MIND MENTI INDIPENDENTI,2
22,41,340,SICULELLA,19851203000000,NARDO',3,3,ARIA,1
22,41,340,CIUCCI,19650716000000,NAPOLI,1,2,DIRITTI E CIVILTA' PER LECCE,2
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,PRIMA LECCE,48
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,31
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,IO SUD,24
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,FRATELLI D'ITALIA,23
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,MOVIMENTO REGIONE SALENTO,20
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,TUTTA LECCE LISI,13
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,FORZA ITALIA - PPE,12
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,LECCE FUTURA PALA,10
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,LEGA SALVINI PUGLIA,9
23,41,340,POLI IN BORTONE,19430825000000,LECCE,2,194,VOCE NAZIONALE,4
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,PARTITO DEMOCRATICO,33
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,COSCIENZA CIVICA,28
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,NOI PER LECCE,10
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,LECCE CITTA' PUBBLICA,8
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,5
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,4
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,SVEGLIA,4
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,AVANTI LECCE,3
23,41,340,SALVEMINI,19660604000000,LECCE,4,97,MOVIMENTO 5 STELLE,2
23,41,340,SICULELLA,19851203000000,NARDO',3,4,ARIA,2
23,41,340,SICULELLA,19851203000000,NARDO',3,4,MIND MENTI INDIPENDENTI,2
23,41,340,CIUCCI,19650716000000,NAPOLI,1,1,DIRITTI E CIVILTA' PER LECCE,1
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,PRIMA LECCE,39
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,MOVIMENTO REGIONE SALENTO,35
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,IO SUD,28
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,24
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,FRATELLI D'ITALIA,24
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,LEGA SALVINI PUGLIA,20
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,LECCE FUTURA PALA,17
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,FORZA ITALIA - PPE,14
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,TUTTA LECCE LISI,11
24,41,340,POLI IN BORTONE,19430825000000,LECCE,2,217,VOCE NAZIONALE,5
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,PARTITO DEMOCRATICO,44
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,COSCIENZA CIVICA,25
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,NOI PER LECCE,13
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,AVANTI LECCE,12
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,SVEGLIA,9
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,LECCE CITTA' PUBBLICA,8
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,MOVIMENTO 5 STELLE,7
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,6
24,41,340,SALVEMINI,19660604000000,LECCE,4,127,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,3
24,41,340,CIUCCI,19650716000000,NAPOLI,1,4,DIRITTI E CIVILTA' PER LECCE,4
24,41,340,SICULELLA,19851203000000,NARDO',3,1,ARIA,1
24,41,340,SICULELLA,19851203000000,NARDO',3,1,MIND MENTI INDIPENDENTI,0
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,FRATELLI D'ITALIA,35
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,IO SUD,29
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,PRIMA LECCE,26
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,MOVIMENTO REGIONE SALENTO,26
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,25
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,FORZA ITALIA - PPE,22
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,LEGA SALVINI PUGLIA,16
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,LECCE FUTURA PALA,12
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,TUTTA LECCE LISI,5
25,41,340,POLI IN BORTONE,19430825000000,LECCE,2,197,VOCE NAZIONALE,1
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,PARTITO DEMOCRATICO,35
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,COSCIENZA CIVICA,29
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,MOVIMENTO 5 STELLE,12
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,NOI PER LECCE,8
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,LECCE CITTA' PUBBLICA,8
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,7
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,SVEGLIA,7
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,AVANTI LECCE,6
25,41,340,SALVEMINI,19660604000000,LECCE,4,117,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,5
25,41,340,SICULELLA,19851203000000,NARDO',3,1,MIND MENTI INDIPENDENTI,1
25,41,340,SICULELLA,19851203000000,NARDO',3,1,ARIA,0
25,41,340,CIUCCI,19650716000000,NAPOLI,1,2,DIRITTI E CIVILTA' PER LECCE,2
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,FORZA ITALIA - PPE,48
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,FRATELLI D'ITALIA,47
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,IO SUD,46
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,PRIMA LECCE,44
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,MOVIMENTO REGIONE SALENTO,40
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,36
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,LECCE FUTURA PALA,28
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,LEGA SALVINI PUGLIA,23
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,TUTTA LECCE LISI,20
26,41,340,POLI IN BORTONE,19430825000000,LECCE,2,333,VOCE NAZIONALE,1
26,41,340,SALVEMINI,19660604000000,LECCE,4,245,COSCIENZA CIVICA,48
26,41,340,SALVEMINI,19660604000000,LECCE,4,245,PARTITO DEMOCRATICO,47
26,41,340,SALVEMINI,19660604000000,LECCE,4,245,AVANTI LECCE,37
