sez,cod_prov,cod_com,cogn,d_nasc,l_nasc,pos,tot_vot_lis,descr_lista,voti
2,41,340,POLI IN BORTONE,19430825000000,LECCE,2,176,LEGA SALVINI PUGLIA,7
2,41,340,POLI IN BORTONE,19430825000000,LECCE,2,176,VOCE NAZIONALE,1
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,LECCE CITTA' PUBBLICA,46
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,PARTITO DEMOCRATICO,38
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,COSCIENZA CIVICA,23
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,NOI PER LECCE,14
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,AVANTI LECCE,13
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,12
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,SVEGLIA,12
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,11
2,41,340,SALVEMINI,19660604000000,LECCE,4,175,MOVIMENTO 5 STELLE,6
2,41,340,SICULELLA,19851203000000,NARDO',3,8,ARIA,6
2,41,340,SICULELLA,19851203000000,NARDO',3,8,MIND MENTI INDIPENDENTI,2
2,41,340,CIUCCI,19650716000000,NAPOLI,1,7,DIRITTI E CIVILTA' PER LECCE,7
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,PARTITO DEMOCRATICO,56
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,LECCE CITTA' PUBBLICA,38
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,AVANTI LECCE,26
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,SVEGLIA,21
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,COSCIENZA CIVICA,16
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,15
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,10
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,NOI PER LECCE,9
3,41,340,SALVEMINI,19660604000000,LECCE,4,200,MOVIMENTO 5 STELLE,9
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,IO SUD,48
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,FRATELLI D'ITALIA,33
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,PRIMA LECCE,25
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,LECCE FUTURA PALA,19
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,18
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,MOVIMENTO REGIONE SALENTO,15
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,FORZA ITALIA - PPE,14
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,TUTTA LECCE LISI,7
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,LEGA SALVINI PUGLIA,6
3,41,340,POLI IN BORTONE,19430825000000,LECCE,2,185,VOCE NAZIONALE,0
3,41,340,SICULELLA,19851203000000,NARDO',3,4,ARIA,3
3,41,340,SICULELLA,19851203000000,NARDO',3,4,MIND MENTI INDIPENDENTI,1
3,41,340,CIUCCI,19650716000000,NAPOLI,1,6,DIRITTI E CIVILTA' PER LECCE,6
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,PARTITO DEMOCRATICO,53
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,LECCE CITTA' PUBBLICA,46
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,AVANTI LECCE,20
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,11
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,NOI PER LECCE,10
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,COSCIENZA CIVICA,8
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,SVEGLIA,6
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,MOVIMENTO 5 STELLE,6
4,41,340,SALVEMINI,19660604000000,LECCE,4,165,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,5
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,FRATELLI D'ITALIA,32
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,IO SUD,29
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,23
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,FORZA ITALIA - PPE,17
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,PRIMA LECCE,15
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,MOVIMENTO REGIONE SALENTO,15
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,LECCE FUTURA PALA,14
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,TUTTA LECCE LISI,7
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,LEGA SALVINI PUGLIA,3
4,41,340,POLI IN BORTONE,19430825000000,LECCE,2,156,VOCE NAZIONALE,1
4,41,340,SICULELLA,19851203000000,NARDO',3,8,ARIA,4
4,41,340,SICULELLA,19851203000000,NARDO',3,8,MIND MENTI INDIPENDENTI,4
4,41,340,CIUCCI,19650716000000,NAPOLI,1,2,DIRITTI E CIVILTA' PER LECCE,2
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,FRATELLI D'ITALIA,39
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,IO SUD,33
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,21
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,PRIMA LECCE,20
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,LECCE FUTURA PALA,19
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,MOVIMENTO REGIONE SALENTO,17
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,FORZA ITALIA - PPE,12
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,TUTTA LECCE LISI,12
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,LEGA SALVINI PUGLIA,6
5,41,340,POLI IN BORTONE,19430825000000,LECCE,2,181,VOCE NAZIONALE,2
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,PARTITO DEMOCRATICO,41
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,LECCE CITTA' PUBBLICA,34
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,COSCIENZA CIVICA,28
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,AVANTI LECCE,27
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,22
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,NOI PER LECCE,16
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,SVEGLIA,14
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,MOVIMENTO 5 STELLE,11
5,41,340,SALVEMINI,19660604000000,LECCE,4,197,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,4
5,41,340,SICULELLA,19851203000000,NARDO',3,4,MIND MENTI INDIPENDENTI,3
5,41,340,SICULELLA,19851203000000,NARDO',3,4,ARIA,1
5,41,340,CIUCCI,19650716000000,NAPOLI,1,3,DIRITTI E CIVILTA' PER LECCE,3
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,PARTITO DEMOCRATICO,51
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,LECCE CITTA' PUBBLICA,44
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,COSCIENZA CIVICA,32
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,AVANTI LECCE,32
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,SVEGLIA,21
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,15
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,NOI PER LECCE,12
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,7
6,41,340,SALVEMINI,19660604000000,LECCE,4,220,MOVIMENTO 5 STELLE,6
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,IO SUD,33
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,PRIMA LECCE,27
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,FRATELLI D'ITALIA,27
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,19
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,FORZA ITALIA - PPE,16
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,MOVIMENTO REGIONE SALENTO,14
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,LECCE FUTURA PALA,12
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,TUTTA LECCE LISI,9
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,LEGA SALVINI PUGLIA,4
6,41,340,POLI IN BORTONE,19430825000000,LECCE,2,163,VOCE NAZIONALE,2
6,41,340,SICULELLA,19851203000000,NARDO',3,4,ARIA,2
6,41,340,SICULELLA,19851203000000,NARDO',3,4,MIND MENTI INDIPENDENTI,2
6,41,340,CIUCCI,19650716000000,NAPOLI,1,5,DIRITTI E CIVILTA' PER LECCE,5
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,FRATELLI D'ITALIA,44
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,IO SUD,31
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,FORZA ITALIA - PPE,22
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,LECCE FUTURA PALA,21
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,MOVIMENTO REGIONE SALENTO,19
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,PRIMA LECCE,18
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,18
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,TUTTA LECCE LISI,12
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,LEGA SALVINI PUGLIA,11
7,41,340,POLI IN BORTONE,19430825000000,LECCE,2,196,VOCE NAZIONALE,0
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,LECCE CITTA' PUBBLICA,36
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,PARTITO DEMOCRATICO,35
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,AVANTI LECCE,26
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,NOI PER LECCE,20
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,COSCIENZA CIVICA,13
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,SVEGLIA,11
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,10
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,MOVIMENTO 5 STELLE,9
7,41,340,SALVEMINI,19660604000000,LECCE,4,168,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,8
7,41,340,CIUCCI,19650716000000,NAPOLI,1,9,DIRITTI E CIVILTA' PER LECCE,9
7,41,340,SICULELLA,19851203000000,NARDO',3,7,MIND MENTI INDIPENDENTI,5
7,41,340,SICULELLA,19851203000000,NARDO',3,7,ARIA,2
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,PARTITO DEMOCRATICO,77
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,LECCE CITTA' PUBBLICA,49
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,COSCIENZA CIVICA,29
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,NOI PER LECCE,23
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,AVANTI LECCE,22
8,41,340,SALVEMINI,19660604000000,LECCE,4,251,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,15
