codice,CODICE ELETTORALE,CODICE ISTAT,CODICE BELFIORE
2050540010,1050540010,028001,A001
1030990010,1030990010,098001,A004
1030980010,1030980010,097001,A005
3090750010,2090750010,052001,A006
5200950010,4200950010,095001,A007
4130600010,3130600010,068001,A008
1030490020,1030490020,015002,A010
3090630012,2090630012,047023,M376
4170640010,3170640010,076001,A013
5190650010,4190650010,088001,A014
4160310010,3160310010,071001,A015
1010270010,1010270010,004001,A016
4170470010,3170470010,077001,A017
4130380010,3130380010,066001,A018
3120690010,2120690010,057001,A019
4170640020,3170640020,076002,A020
4150720010,3150720010,065001,A023
4150510010,3150510010,063001,A024
5190210010,4190210010,087001,A025
5190210020,4190210020,087002,A026
5190210030,4190210030,087003,A027
5190210050,4190210050,087005,A029
5190210040,4190210040,087004,A028
3120330010,2120330010,060001,A032
4180250010,3180250010,078001,A033
1030150010,1030150010,017001,A034
3110590010,2110590010,041001,A035
1030260010,1030260010,019001,A039
1030450010,1030450010,020001,A038
3120910010,2120910010,056001,A040
4180250020,3180250020,078002,A041
4181030010,3181030010,102001,A043
3110060010,2110060010,044001,A044
3100800010,2100800010,055001,A045
4140190010,3140190010,070001,A050
4140940010,3140940010,094001,A051
4160090010,3160090010,072001,A048
3110060020,2110060020,044002,A047
5190180010,4190180010,085001,A049
5190480001,4190480001,083107,M211
1010020010,1010020010,006001,A052
4180250030,3180250030,078003,A053
3120330020,2120330020,060002,A054
4160090020,3160090020,072002,A055
5190210060,4190210060,087006,A056
1030120010,1030120010,016001,A057
1030120020,1030120020,016002,A058
2050710010,1050710010,029001,A059
1030150020,1030150020,017002,A060
2050890010,1050890010,023001,A061
3120700010,2120700010,058001,A062
4150510020,3150510020,063002,A064
4180670010,3180670010,080001,A065
2080610010,1080610010,033001,A067
4150510030,3150510030,063003,A068
5200730010,4200730010,090001,A069
5190280010,4190280010,086001,A070
3090630020,2090630020,047002,A071
1010070010,1010070010,005001,A072
1010810010,1010810010,001001,A074
5200730011,4200730011,090062,H848
2050540020,1050540020,028002,A075
1030260020,1030260020,019002,A076
4180670020,3180670020,080002,A077
4140940020,3140940020,094002,A080
1030150030,1030150030,017003,A082
2050100010,1050100010,025001,A083
3120700020,2120700020,058002,A084
1030860010,1030860010,012001,A085
1031040010,1031040010,108001,A087
1010520010,1010520010,003001,A088
5190010010,4190010010,084001,A089
4150720020,3150720020,065002,A091
3110030010,2110030010,042001,A092
2050900010,1050900010,024001,A093
1031040020,1031040020,108002,A096
5200950020,4200950020,095002,A097
5190280020,4190280020,086002,A098
4130380020,3130380020,066002,A100
4180250040,3180250040,078004,A102
2060850010,1060850010,030001,A103
4150080010,3150080010,064001,A101
4180250050,3180250050,078005,A105
4150200010,3150200010,061001,A106
1010960010,1010960010,096001,A107
1010810020,1010810020,001002,A109
4150110010,3150110010,062001,A110
1070370010,1070370010,008001,A111
1030980020,1030980020,097002,A112
1010270020,1010270020,004002,A113
2040830010,1040830010,022001,A116
1010810030,1010810030,001003,A117
5200730020,4200730020,090002,A115
1030570010,1030570010,018001,A118
1010880020,1010880020,002002,A119
4130600020,3130600020,068002,A120
1070740010,1070740010,009001,A122
3120330030,2120330030,060003,A123
1010270030,1010270030,004003,A124
4130790001,3130790001,067001,A125
5200950030,4200950030,095003,A126
1030490050,1030490050,015005,A127
4150720030,3150720030,065003,A128
4170640030,3170640030,076003,A131
3120700030,2120700030,058003,A132
1030120030,1030120030,016003,A129
1010880030,1010880030,002003,A130
2050890020,1050890020,023002,A137
1030770010,1030770010,014001,A135
2080560010,1080560010,034001,A138
1010270040,1010270040,004004,A139
1030240030,1030240030,013003,A143
1070740020,1070740020,009002,A145
1010020020,1010020020,006002,A146
4160090030,3160090030,072003,A149
4160310020,3160310020,071002,A150
1030240040,1030240040,013004,A153
2050900020,1050900020,024002,A154
4180220020,3180220020,079002,A155
2040830020,1040830020,022002,A158
1010810040,1010810040,001004,A157
1031040030,1031040030,108003,A159
4180250060,3180250060,078006,A160
2050540030,1050540030,028003,A161
2080680010,1080680010,035001,A162
1030120040,1030120040,016004,A163
1030240050,1030240050,013005,A164
1070740040,1070740040,009004,A166
1070740030,1070740030,009003,A165
1030860020,1030860020,012002,A167
1030570030,1030570030,018003,A171
1030770020,1030770020,014002,A172
1010070020,1010070020,005002,A173
1030570040,1030570040,018004,A175
5190820010,4190820010,081001,A176
5190480010,4190480010,083001,A177
2040830030,1040830030,022003,A178
2040140002,1040140002,021001,A179
5200950040,4200950040,095004,A180
1010020030,1010020030,006003,A182
4180250070,3180250070,078007,A183
5190010020,4190010020,084002,A181
4160410020,3160410020,075002,A184
4160410030,3160410030,075003,A185
4150720040,3150720040,065004,A186
4130380030,3130380030,066003,A187
1030150040,1030150040,017004,A188
1010020040,1010020040,006004,A189
2080660010,1080660010,039001,A191
5200730030,4200730030,090003,A192
1030120041,1030120041,016248,A193
5190480020,4190480020,083002,A194
5190480030,4190480030,083003,A201
5190550010,4190550010,082001,A195
4170470020,3170470020,077002,A196
1010020050,1010020050,006005,A197
1010880040,1010880040,002004,A198
4150200020,3150200020,061002,A200
5190550020,4190550020,082002,A202
5190550030,4190550030,082003,A203
5200950050,4200950050,095005,A204
2050100030,1050100030,025003,A206
1020040010,1020040010,007001,A205
3100800020,2100800020,055002,A207
4160410040,3160410040,075004,A208
3120700040,2120700040,058004,A210
1010020062,1010020062,006192,M397
1030120050,1030120050,016005,A214
1030120070,1030120070,016006,A216
1030120080,1030120080,016007,A217
1010810060,1010810060,001006,A218
2050900030,1050900030,024003,A220
2050100035,1050100035,025072,M375
1010810070,1010810070,001007,A221
1010810080,1010810080,001008,A222
2080610020,1080610020,033002,A223
1030240060,1030240060,013006,A224
2080610025,1080610025,033049,M386
1030240065,1030240065,013253,M383
4160090040,3160090040,072004,A225
1070740050,1070740050,009005,A226
2040830034,1040830034,022235,M349
4150080020,3150080020,064002,A228
5190550040,4190550040,082004,A229
1010020070,1010020070,006007,A227
4150720050,3150720050,065005,A230
2050900040,1050900040,024004,A231
3111050010,2111050010,109001,A233
4180250080,3180250080,078008,A234
4130230010,3130230010,069001,A235
2050900050,1050900050,024005,A236
2050840010,1050840010,026001,A237
1010270050,1010270050,004005,A238
2080130005,1080130005,037062,M369
1010880045,1010880045,002170,M389
5190550050,4190550050,082005,A239
4180250090,3180250090,078009,A240
3090430010,2090430010,046001,A241
2040830037,1040830037,022236,M350
3100800030,2100800030,055003,A242
4150200030,3150200030,061003,A243
3120330040,2120330040,060004,A244
1030120090,1030120090,016008,A246
1010020080,1010020080,006008,A245
1030240070,1030240070,013007,A249
4150720060,3150720060,065006,A251
3111050020,2111050020,109002,A252
4180250100,3180250100,078010,A253
2060850020,1060850020,030002,A254
4180220030,3180220030,079003,A255
3120330050,2120330050,060005,A256
4180220040,3180220040,079004,A257
3120690020,2120690020,057002,A258
1030120100,1030120100,016009,A259
2040830042,1040830042,022237,M351
1070390010,1070390010,011001,A261
3100800040,2100800040,055004,A262
4180250110,3180250110,078011,A263
1010520020,1010520020,003002,A264
4150110020,3150110020,062002,A265
2060850030,1060850030,030003,A267
4150510040,3150510040,063004,A268
3120330060,2120330060,060006,A269
4130790010,3130790010,067002,A270
3110030020,2110030020,042002,A271
4180220050,3180220050,079005,A272
2040830050,1040830050,022005,A274
1030770030,1030770030,014003,A273
1010810090,1010810090,001009,A275
1070740060,1070740060,009006,A278
1010960020,1010960020,096002,A280
4160410050,3160410050,075005,A281
1010810100,1010810100,001010,A282
2060930010,1060930010,093001,A283
4150080030,3150080030,064003,A284
4161060010,3161060010,110001,A285
2040140001,1040140001,021002,A286
5200730040,4200730040,090004,A287
1030150050,1030150050,017005,A288
1030860030,1030860030,012003,A290
3090050010,2090050010,051001,A291
2050890030,1050890030,023003,A292
1030150060,1030150060,017006,A293
4150720070,3150720070,065007,A294
1010810110,1010810110,001011,A295
3120700050,2120700050,058005,A297
2050540040,1050540040,028004,A296
1030260030,1030260030,019003,A299
1030980030,1030980030,097003,A301
2050870010,1050870010,027001,A302
4180670030,3180670030,080003,A303
1030120110,1030120110,016010,A304
2040140010,1040140010,021003,A306
1020040020,1020040020,007002,A305
3120700060,2120700060,058006,A309
1010070030,1010070030,005003,A312
5190480040,4190480040,083004,A313
4180670040,3180670040,080004,A314
3120690030,2120690030,057003,A315
1011020010,1011020010,103001,A317
4130380040,3130380040,066004,A318
1030240090,1030240090,013009,A319
4160310030,3160310030,071003,A320
4170640040,3170640040,076004,A321
3120700070,2120700070,058007,A323
1011020020,1011020020,103002,A325
2080130010,1080130010,037001,A324
1020040030,1020040030,007003,A326
3110590020,2110590020,041002,A327
4150110030,3150110030,062003,A328
3110440020,2110440020,043002,A329
4150110040,3150110040,062004,A330
1030240100,1030240100,013010,A333
2040140020,1040140020,021004,A332
3110440030,2110440030,043003,A334
3110060050,2110060050,044005,A335
1030770040,1030770040,014004,A337
1070370020,1070370020,008002,A338
4160310040,3160310040,071004,A339
4180250120,3180250120,078012,A340
3120400010,2120400010,059001,A341
4150720080,3150720080,065008,A343
1070370030,1070370030,008003,A344
2060850040,1060850040,030004,A346
4150080040,3150080040,064004,A347
3120330070,2120330070,060007,A348
4160410060,3160410060,075006,A350
5190010030,4190010030,084003,A351
1010070040,1010070040,005004,A352
2060930020,1060930020,093002,A354
5200950060,4200950060,095006,A357
1010880060,1010880060,002006,A358
5201110010,4201110010,111001,A359
2050840020,1050840020,026002,A360
3120330080,2120330080,060008,A363
1030120120,1030120120,016011,A365
3110030030,2110030030,042003,A366
4130230020,3130230020,069002,A367
3090360010,2090360010,053001,A369
3120700080,2120700080,058008,A370
1030860040,1030860040,012004,A371
2040830060,1040830060,022006,A372
1070390020,1070390020,011002,A373
2050890040,1050890040,023004,A374
1030490070,1030490070,015007,A375
1031040040,1031040040,108004,A376
2050900060,1050900060,024006,A377
5200730050,4200730050,090005,A379
5200950070,4200950070,095007,A380
3120700081,2120700081,058117,M213
1030770050,1030770050,014005,A382
1030120130,1030120130,016012,A383
4180670050,3180670050,080005,A385
4181030020,3181030020,102002,A386
1030570050,1030570050,018005,A387
1070340010,1070340010,010001,A388
1030490090,1030490090,015009,A389
3090050020,2090050020,051002,A390
1030240110,1030240110,013011,A391
2080130020,1080130020,037002,A392
2080290010,1080290010,038001,A393
1010270060,1010270060,004006,A394
1010270070,1010270070,004007,A396
4180220070,3180220070,079007,A397
4130230030,3130230030,069003,A398
4150080050,3150080050,064005,A399
2050710020,1050710020,029002,A400
3120700090,2120700090,058009,A401
4130230040,3130230040,069004,A402
4150200040,3150200040,061004,A403
1010810120,1010810120,001012,A405
5200530010,4200530010,091001,A407
1011020030,1011020030,103003,A409
3120910020,2120910020,056002,A412
1030490100,1030490100,015010,A413
1010520060,1010520060,003006,A414
4170640050,3170640050,076005,A415
1070370040,1070370040,008004,A418
5201110020,4201110020,111002,A419
1020040040,1020040040,007004,A424
3120330090,2120330090,060009,A421
1070740070,1070740070,009007,A422
4160410070,3160410070,075007,A425
1011020040,1011020040,103004,A427
1010520070,1010520070,003008,A429
1030240120,1030240120,013012,A430
4150110050,3150110050,062005,A431
4150110060,3150110060,062006,A432
3120330100,2120330100,060010,A433
2050540050,1050540050,028005,A434
2050710030,1050710030,029003,A435
3110060060,2110060060,044006,A437
1010020090,1010020090,006009,A436
2050540060,1050540060,028006,A438
3100800050,2100800050,055005,A439
1030860050,1030860050,012005,A441
2050100040,1050100040,025004,A443
2050900070,1050900070,024007,A444
4130790020,3130790020,067003,A445
3120700100,2120700100,058010,A446
2060850050,1060850050,030005,A447
2060850060,1060850060,030006,A448
3120700110,2120700110,058011,A449
1030150061,1030150061,017007,A451
1020040050,1020040050,007005,A452
5200730060,4200730060,090006,A453
1030120140,1030120140,016013,A440
5200530020,4200530020,091002,A454
4150510050,3150510050,063005,A455
2050540070,1050540070,028007,A458
2050900080,1050900080,024008,A459
4150720090,3150720090,065009,A460
3090750020,2090750020,052002,A461
3110060070,2110060070,044007,A462
4160310050,3160310050,071005,A463
3120690040,2120690040,057004,A464
2050900090,1050900090,024009,A465
2050900100,1050900100,024010,A467
1010880070,1010880070,002007,A466
1030450020,1030450020,020002,A470
2050840030,1050840030,026003,A471
1030490110,1030490110,015011,A473
5200170030,4200170030,092003,A474
3100580010,2100580010,054001,A475
1030240130,1030240130,013013,A476
5200950080,4200950080,095008,A477
5190280030,4190280030,086003,A478
1010070050,1010070050,005005,A479
5200950090,4200950090,095009,A480
4130380050,3130380050,066005,A481
4170640060,3170640060,076006,A482
4150720100,3150720100,065010,A484
4130230050,3130230050,069005,A485
3120330110,2120330110,060011,A486
4150720110,3150720110,065011,A487
4130790030,3130790030,067004,A488
4150080060,3150080060,064006,A489
3100800060,2100800060,055006,A490
2060850070,1060850070,030007,A491
5200530030,4200530030,091003,A492
5190760010,4190760010,089001,A494
4150720120,3150720120,065012,A495
3090460010,2090460010,045001,A496
1011020050,1011020050,103005,A497
1070370041,1070370041,008005,A499
2050100050,1050100050,025005,A501
3120330120,2120330120,060012,A502
5200530040,4200530040,091004,A503
1070340020,1070340020,010002,A506
2040140021,1040140021,021005,A507
4150080070,3150080070,064007,A508
4150080080,3150080080,064008,A509
1030120150,1030120150,016014,A511
4150200050,3150200050,061005,A512
4160780010,3160780010,073001,A514
4130380060,3130380060,066006,A515
2060930040,1060930040,093004,A516
1030120160,1030120160,016015,A517
1010810130,1010810130,001013,A518
4170640070,3170640070,076007,A519
3100800061,2100800061,055033,M258
2040830070,1040830070,022007,A520
1020040060,1020040060,007006,A521
5190760020,4190760020,089002,A522
1010020100,1010020100,006010,A523
1020040070,1020040070,007007,A094
1020040080,1020040080,007008,A108
1010810140,1010810140,001014,A525
1030260040,1030260040,019004,A526
1010070060,1010070060,005006,A527
2060930050,1060930050,093005,A530
1030150062,1030150062,017008,A529
1030120170,1030120170,016016,A528
1030860060,1030860060,012006,A531
1030860061,1030860061,012007,A532
1030120180,1030120180,016017,A533
1011020060,1011020060,103006,A534
4150510060,3150510060,063006,A535
1070370050,1070370050,008006,A536
5200730061,4200730061,090081,M214
2050890050,1050890050,023005,A540
1030570060,1030570060,018006,A538
2050710040,1050710040,029004,A539
3090050030,2090050030,051003,A541
2040140030,1040140030,021006,A537
4180220080,3180220080,079008,A542
4180670060,3180670060,080006,A544
5190550060,4190550060,082006,A546
2080660020,1080660020,039002,A547
4180670070,3180670070,080007,A552
2080660030,1080660030,039003,A551
1030570070,1030570070,018007,A550
2060850080,1060850080,030008,A553
1010270080,1010270080,004008,A555
1030120181,1030120181,016018,A557
3090430020,2090430020,046002,A560
3090300010,2090300010,048001,A564
2080320010,1080320010,040001,A565
4140940030,3140940030,094003,A567
2050540080,1050540080,028008,A568
4150080090,3150080090,064009,A566
1030260050,1030260050,019005,A570
4160410080,3160410080,075008,A572
2050710050,1050710050,029005,A574
2080680020,1080680020,035002,A573
1030150070,1030150070,017009,A569
1010270090,1010270090,004009,A571
1030450030,1030450030,020003,A575
3090460020,2090460020,045002,A576
3120910030,2120910030,056003,A577
1030150080,1030150080,017010,A578
4150200060,3150200060,061006,A579
4150080100,3150080100,064010,A580
1010810150,1010810150,001015,A584
2080680030,1080680030,035003,A586
1070370060,1070370060,008007,A581
1010810160,1010810160,001016,A587
1010070070,1010070070,005007,A588
1010810170,1010810170,001017,A590
1010270100,1010270100,004010,A589
1010810180,1010810180,001018,A591
5190550070,4190550070,082007,A592
1070740080,1070740080,009008,A593
1030980040,1030980040,097004,A594
5201110030,4201110030,111003,A597
1010810190,1010810190,001019,A599
1010880080,1010880080,002008,A600
1010880090,1010880090,002009,A601
4130380070,3130380070,066007,A603
4170640080,3170640080,076008,A604
1010020110,1010020110,006011,A605
5200730070,4200730070,090007,A606
1010810200,1010810200,001020,A607
1011020070,1011020070,103007,A610
4170640090,3170640090,076009,A612
2050540090,1050540090,028009,A613
5200950100,4200950100,095010,A614
4170640100,3170640100,076010,A615
4140190020,3140190020,070002,A616
4150510070,3150510070,063007,A617
1030490116,1030490116,015250,A618
1030860062,1030860062,012008,A619
5200950110,4200950110,095011,A621
1010810210,1010810210,001021,A625
3110030040,2110030040,042004,A626
2050900112,1050900112,024124,M401
3120910040,2120910040,056004,A628
1010270110,1010270110,004011,A629
1030150090,1030150090,017011,A630
1030120190,1030120190,016019,A631
3090300020,2090300020,048002,A632
3090300035,2090300035,048054,M408
1030570080,1030570080,018008,A634
2040140040,1040140040,021007,A635
2050540100,1050540100,028010,A637
5190480050,4190480050,083005,A638
2060930060,1060930060,093006,A640
1020040090,1020040090,007009,A643
1030860071,1030860071,012144,M433
2080560020,1080560020,034002,A646
1070740090,1070740090,009009,A647
2050890060,1050890060,023006,A650
1010810220,1010810220,001022,A651
1030490120,1030490120,015012,A652
1010520110,1010520110,003012,A653
5200950120,4200950120,095012,A655
4130380080,3130380080,066008,A656
3090430030,2090430030,046003,A657
1070340030,1070340030,010003,A658
1010270120,1010270120,004012,A660
1030150091,1030150091,017012,A661
4160090060,3160090060,072006,A662
5200530050,4200530050,091005,A663
1030120200,1030120200,016020,A664
2080130030,1080130030,037003,A665
4170640110,3170640110,076011,A666
4130380090,3130380090,066009,A667
1031040050,1031040050,108005,A668
4161060020,3161060020,110002,A669
1030240150,1030240150,013015,A670
1010270130,1010270130,004013,A671
1010810230,1010810230,001023,A673
4150720130,3150720130,065013,A674
5190280040,4190280040,086004,A676
5201110040,4201110040,111004,A677
4130380100,3130380100,066010,A678
5201110050,4201110050,111005,A681
1030980050,1030980050,097005,A683
1030120210,1030120210,016021,A684
1030980060,1030980060,097006,A686
1030980070,1030980070,097007,A687
1010020120,1010020120,006012,A689
1030570090,1030570090,018009,A690
3100800070,2100800070,055007,A691
4130790040,3130790040,067005,A692
2040830100,1040830100,022009,A694
4150110070,3150110070,062007,A696
1030490140,1030490140,015014,A697
5190480060,4190480060,083006,A698
1030490150,1030490150,015015,A699
2060850090,1060850090,030009,A700
1030150100,1030150100,017013,A702
2050900120,1050900120,024012,A703
3120910051,2120910051,056006,A706
3120910052,2120910052,056005,A704
