codice,CODICE ELETTORALE,CODICE ISTAT,CODICE BELFIORE
3120400020,2120400020,059002,A707
1010020130,1010020130,006013,A708
1010270140,1010270140,004014,A709
3100580020,2100580020,054002,A710
1030570110,1030570110,018011,A712
2080500010,1080500010,036001,A713
2050540110,1050540110,028011,A714
1010270150,1010270150,004015,A716
4150720140,3150720140,065014,A717
1030570120,1030570120,018012,A718
5190550080,4190550080,082008,A719
5200950130,4200950130,095013,A721
5200530060,4200530060,091006,A722
1011020080,1011020080,103008,A725
1030860080,1030860080,012010,A728
1030150110,1030150110,017014,A729
2040830110,1040830110,022011,A730
2080560030,1080560030,034003,A731
1030120220,1030120220,016022,A732
1011020090,1011020090,103009,A733
1010810240,1010810240,001024,A734
1010270160,1010270160,004016,A735
4180220090,3180220090,079009,A736
2050890070,1050890070,023007,A737
3110590050,2110590050,041005,A740
3110440040,2110440040,043004,A739
1010020140,1010020140,006014,A738
1030570130,1030570130,018013,A741
1011020100,1011020100,103010,A742
4170640120,3170640120,076012,A743
1030240191,1030240191,013250,M335
1030980080,1030980080,097008,A745
4130790050,3130790050,067006,A746
2081010010,1081010010,099001,A747
3120700120,2120700120,058012,A749
1010270170,1010270170,004017,A750
1030490160,1030490160,015016,A751
1010520150,1010520150,003016,A752
4150720141,3150720141,065158,M294
4150200070,3150200070,061007,A755
4150720150,3150720150,065015,A756
2050100060,1050100060,025006,A757
1031040060,1031040060,108006,A759
4180250130,3180250130,078013,A762
3120330130,2120330130,060013,A763
4140940040,3140940040,094004,A761
3120690050,2120690050,057005,A765
5190550090,4190550090,082009,A764
3111050030,2111050030,109003,A760
5190210070,4190210070,087007,A766
4180250140,3180250140,078014,A768
4180970010,3180970010,101001,A772
1010270180,1010270180,004018,A774
4180250150,3180250150,078015,A773
3110030050,2110030050,042005,A769
1010070080,1010070080,005008,A770
5200530070,4200530070,091007,A776
1030770060,1030770060,014006,A777
1030240210,1030240210,013021,A778
1010270190,1010270190,004019,A779
4180670080,3180670080,080008,A780
5200730080,4200730080,090008,A781
1010270200,1010270200,004020,A782
4150110080,3150110080,062008,A783
1010960030,1010960030,096003,A784
2080130050,1080130050,037005,A785
1030120230,1030120230,016023,A786
1030770070,1030770070,014007,A787
2080560040,1080560040,034004,A788
5200730090,4200730090,090009,A789
1030240220,1030240220,013022,A791
1030570140,1030570140,018014,A792
1010020150,1010020150,006015,A793
1030120240,1030120240,016024,A794
2050710060,1050710060,029006,A795
1070740100,1070740100,009010,A796
1010270210,1010270210,004021,A798
1030150120,1030150120,017015,A799
4170470030,3170470030,077003,A801
1031040070,1031040070,108007,A802
1030490190,1030490190,015019,A804
1010270220,1010270220,004022,A805
2080320020,1080320020,040003,A809
2060850100,1060850100,030010,A810
1030990020,1030990020,098002,A811
1010070090,1010070090,005009,A812
1010020160,1010020160,006016,A813
1030150130,1030150130,017016,A816
1030150140,1030150140,017017,A817
1030120250,1030120250,016025,A815
1031040080,1031040080,108008,A818
1030860081,1030860081,012011,A819
1030490220,1030490220,015022,A820
2040830130,1040830130,022013,A821
2080610030,1080610030,033003,A823
1030860090,1030860090,012012,A825
1030860100,1030860100,012013,A826
5200730100,4200730100,090010,A827
2080610040,1080610040,033004,A831
3100580030,2100580030,054003,A832
1011020110,1011020110,103011,A834
3100580040,2100580040,054004,A835
1070390030,1070390030,011003,A836
2050890080,1050890080,023008,A837
5190210080,4190210080,087008,A841
4180250160,3180250160,078016,A842
4180670090,3180670090,080009,A843
1010520170,1010520170,003018,A844
1030860110,1030860110,012014,A845
1030120251,1030120251,016026,A846
1010880110,1010880110,002011,A847
1030770080,1030770080,014008,A848
1031040090,1031040090,108009,A849
2080680040,1080680040,035004,A850
3090050040,2090050040,051004,A851
3090420010,2090420010,049001,A852
1010810250,1010810250,001025,A853
4160310060,3160310060,071006,A854
2060850110,1060850110,030011,A855
5200950140,4200950140,095014,A856
1010960040,1010960040,096004,A859
1030150150,1030150150,017018,A861
2040830150,1040830150,022015,A863
3090620020,2090620020,050001,A864
1030240230,1030240230,013023,A870
1030490240,1030490240,015024,A872
4160090080,3160090080,072008,A874
1010960050,1010960050,096005,A876
1020040100,1020040100,007010,A877
1030150160,1030150160,017019,A878
5200530080,4200530080,091008,A880
4150080110,3150080110,064011,A881
5190550100,4190550100,082010,A882
4161060030,3161060030,110003,A883
4130380110,3130380110,066011,A884
4130790060,3130790060,067007,A885
4180250170,3180250170,078017,A887
1010020170,1010020170,006017,A889
1030860120,1030860120,012015,A891
4160090100,3160090100,072010,A892
4160090110,3160090110,072011,A893
4160090120,3160090120,072012,A894
5200530090,4200530090,091009,A895
5190010040,4190010040,084004,A896
4180670100,3180670100,080010,A897
1030240240,1030240240,013024,A898
2040830170,1040830170,022017,A902
1030120260,1030120260,016027,A903
3120910060,2120910060,056007,A857
1030240250,1030240250,013025,A904
1030240260,1030240260,013026,A905
5190550101,4190550101,082082,M268
2050540120,1050540120,028012,A906
2080610050,1080610050,033005,A909
1010810260,1010810260,001026,A910
1010520180,1010520180,003019,A911
4180250180,3180250180,078018,A912
1010880140,1010880140,002014,A914
2040830180,1040830180,022018,A916
1030860130,1030860130,012016,A918
1030990030,1030990030,098003,A919
1030490260,1030490260,015026,A920
1070340040,1070340040,010004,A922
1011020120,1011020120,103012,A925
1010520200,1010520200,003021,A929
1070740110,1070740110,009011,A931
4140190030,3140190030,070003,A930
1070390040,1070390040,011004,A932
1030120270,1030120270,016028,A937
1030490270,1030490270,015027,A940
1010810270,1010810270,001027,A941
2080130060,1080130060,037006,A944
4130600030,3130600030,068003,A945
5190550110,4190550110,082011,A946
3110440050,2110440050,043005,A947
5200530100,4200530100,091010,A948
3120910070,2120910070,056008,A949
1030120280,1030120280,016029,A950
1010520210,1010520210,003022,A953
2050900130,1050900130,024013,A954
2040140050,1040140050,021008,A952
3120910080,2120910080,056009,A955
4130230060,3130230060,069006,A956
5190180020,4190180020,085002,A957
5190550120,4190550120,082012,A958
2080500020,1080500020,036002,A959
5200950150,4200950150,095015,A960
1070390050,1070390050,011005,A961
1030120290,1030120290,016030,A963
1030120300,1030120300,016031,A962
2050890090,1050890090,023009,A964
2080290030,1080290030,038003,A965
2040830201,1040830201,022021,A968
4150110090,3150110090,062009,A970
4140190040,3140190040,070004,A971
1030260060,1030260060,019006,A972
4180250190,3180250190,078019,A973
4150080120,3150080120,064012,A975
5200730110,4200730110,090011,A976
5200730120,4200730120,090012,A977
5200730130,4200730130,090013,A978
1010270230,1010270230,004023,A979
3120690060,2120690060,057006,A981
2050100070,1050100070,025007,A982
2060850120,1060850120,030012,A983
1070370070,1070370070,008008,A984
1030260070,1030260070,019007,A986
2080560050,1080560050,034005,A987
2080680050,1080680050,035005,A988
1030570141,1030570141,018015,A989
1010810280,1010810280,001028,A990
5190550130,4190550130,082013,A991
1070370080,1070370080,008009,A993
1010020180,1010020180,006018,A998
1070390060,1070390060,011006,A992
1030990040,1030990040,098004,A995
1070740120,1070740120,009012,A999
2080320030,1080320030,040004,B001
4180220110,3180220110,079011,B002
1010810290,1010810290,001029,B003
1070740130,1070740130,009013,B005
3090430040,2090430040,046004,B007
2040830204,1040830204,022238,M352
1010880150,1010880150,002015,B009
2040830205,1040830205,022252,M429
1030120310,1030120310,016032,B010
2040830207,1040830207,022239,M353
1030450048,1030450048,020072,M396
3110590060,2110590060,041006,B026
1030570150,1030570150,018016,B028
1010270250,1010270250,004025,B033
1030150170,1030150170,017020,B035
1030990050,1030990050,098005,B017
3090300040,2090300040,048004,B036
1010020200,1010020200,006020,B037
1030570170,1030570170,018018,B038
1010520240,1010520240,003025,B043
2080130070,1080130070,037007,B044
2080560060,1080560060,034006,B042
2050100075,1050100075,025074,M421
2040830210,1040830210,022022,B006
3120690071,2120690071,057008,A996
2050540125,1050540125,028107,M402
1010880170,1010880170,002017,B046
1030450065,1030450065,020071,M340
1030450055,1030450055,020073,M406
1010810300,1010810300,001030,B015
1010520220,1010520220,003023,B016
1010270240,1010270240,004024,B018
1010520230,1010520230,003024,B019
1070370090,1070370090,008010,B020
1010810310,1010810310,001031,B021
1011020125,1011020125,103078,M370
1010810320,1010810320,001032,B024
2080610060,1080610060,033006,B025
1010020190,1010020190,006019,B029
1030570160,1030570160,018017,B030
2050540130,1050540130,028013,B031
3120690072,2120690072,057007,B008
1030150180,1030150180,017021,B040
1010880160,1010880160,002016,B041
1070740140,1070740140,009014,B048
1030770090,1030770090,014009,B049
1030570180,1030570180,018019,B051
1030150190,1030150190,017022,B054
5200950160,4200950160,095016,B055
5200530110,4200530110,091011,B056
4130230070,3130230070,069007,B057
1010960060,1010960060,096006,B058
2050840040,1050840040,026004,B061
5200530120,4200530120,091012,B062
5200730140,4200730140,090014,B063
5200730150,4200730150,090015,B064
1070340050,1070340050,010005,B067
5200950166,4200950166,095079,B068
2050710070,1050710070,029007,B069
2050890100,1050890100,023010,B070
2050890110,1050890110,023011,B073
1010020210,1010020210,006021,B071
1010810330,1010810330,001033,B075
4150510080,3150510080,063008,B076
4150510090,3150510090,063009,B077
1010270260,1010270260,004026,B079
1010020220,1010020220,006022,B080
1030980090,1030980090,097009,B081
1030570190,1030570190,018020,B082
1030120320,1030120320,016033,B083
1010270270,1010270270,004027,B084
4180220111,3180220111,079012,B085
4160410081,3160410081,075009,B086
1030120330,1030120330,016034,B088
1030150200,1030150200,017023,B091
5200730160,4200730160,090016,B094
4180670110,3180670110,080011,B097
4180670130,3180670130,080013,B099
4180670120,3180670120,080012,B098
1030150210,1030150210,017024,B100
1010270280,1010270280,004028,B101
1030150220,1030150220,017025,B102
3120330140,2120330140,060014,A720
4160310070,3160310070,071007,B104
1031040100,1031040100,108010,B105
2050540140,1050540140,028014,B106
2050890120,1050890120,023012,B107
1010020230,1010020230,006023,B109
