comune,ref,numero_comuni,comuni_capoluogo,comuni_sup_15000,comuni_inf_15000,comuni_rinnovo_motivi_diversi,comuni_sciolti_rinnovo,popolazione_2021,sezioni_2023,elettori_2023,CODICE ISTAT
VALTORTA,14_table_01,1.0,,,inf,,,249,1,216,016229
VEDESETA,14_table_01,1.0,,,inf,,,187,1,177,016230
VERDELLO,14_table_01,1.0,,,inf,,,8118,6,6156,016233
VERTOVA,14_table_01,1.0,,,inf,,,4443,4,3863,016234
VIADANICA,14_table_01,1.0,,,inf,,,1123,1,898,016235
VIGANO SAN MARTINO,14_table_01,1.0,,,inf,,,1322,1,985,016236
VIGOLO,14_table_01,1.0,,,inf,,,577,1,607,016237
VILLA D'ALME',14_table_01,1.0,,,inf,,,6573,5,5313,016239
VILLA DI SERIO,14_table_01,1.0,,,inf,,,6630,5,5505,016240
ZANDOBBIO,14_table_01,1.0,,,inf,,,2666,3,2082,016244
ZANICA,14_table_01,1.0,,,inf,,,8671,6,6957,016245
ZOGNO,14_table_01,1.0,,,inf,,,8585,9,7822,016246
ADRO,14_table_02,1.0,,,inf,,,7171,6,5881,017002
ALFIANELLO,14_table_02,1.0,,,inf,,,2372,2,1917,017004
ANGOLO TERME,14_table_02,1.0,,,inf,,,2309,4,2117,017006
BAGNOLO MELLA,14_table_02,1.0,,,inf,*,,12494,11,9567,017009
BAGOLINO,14_table_02,1.0,,,inf,,,3755,4,3449,017010
BARBARIGA,14_table_02,1.0,,,inf,,,2317,3,1837,017011
BASSANO BRESCIANO,14_table_02,1.0,,,inf,,,2333,2,1780,017013
BEDIZZOLE,14_table_02,1.0,,,inf,,,12278,11,9591,017014
BERLINGO,14_table_02,1.0,,,inf,,,2752,2,2095,017015
BIONE,14_table_02,1.0,,,inf,,,1311,2,1050,017019
BORGO SAN GIACOMO,14_table_02,1.0,,,inf,,,5388,4,4148,017020
BORGOSATOLLO,14_table_02,1.0,,,inf,,,9061,8,7319,017021
BOTTICINO,14_table_02,1.0,,,inf,,,10706,10,8897,017023
BOVEZZO,14_table_02,1.0,,,inf,,,7356,6,6143,017025
BRANDICO,14_table_02,1.0,,,inf,,,1744,2,1332,017026
BRAONE,14_table_02,1.0,,,inf,,,682,1,566,017027
BRENO,14_table_02,1.0,,,inf,,,4632,6,3830,017028
BRIONE,14_table_02,1.0,,,inf,,,737,1,623,017030
CAINO,14_table_02,1.0,,,inf,,,2136,2,1695,017031
CALCINATO,14_table_02,1.0,,,inf,,,12890,9,9694,017032
CALVAGESE DELLA RIVIERA,14_table_02,1.0,,,inf,,,3644,4,3069,017033
CALVISANO,14_table_02,1.0,,,inf,,,8375,7,6410,017034
CAPO DI PONTE,14_table_02,1.0,,,inf,,,2327,4,2063,017035
CAPOVALLE,14_table_02,1.0,,,inf,,,345,1,366,017036
CAPRIOLO,14_table_02,1.0,,,inf,,,9431,7,7245,017038
CARPENEDOLO,14_table_02,1.0,,,inf,,,12977,9,9750,017039
CASTEGNATO,14_table_02,1.0,,,inf,,,8327,7,6572,017040
CASTENEDOLO,14_table_02,1.0,,,inf,,,11553,8,9093,017043
CASTO,14_table_02,1.0,,,inf,,,1625,2,1260,017044
CASTREZZATO,14_table_02,1.0,,,inf,,,7494,5,5720,017045
CEDEGOLO,14_table_02,1.0,,,inf,,,1098,2,998,017047
CELLATICA,14_table_02,1.0,,,inf,,,4862,5,3996,017048
CERVENO,14_table_02,1.0,,,inf,,,657,1,577,017049
CETO,14_table_02,1.0,,,inf,,,1788,3,1439,017050
CEVO,14_table_02,1.0,,,inf,,,820,2,879,017051
CHIARI,14_table_02,1.0,,SUP,,,#,19131,15,14238,017052
CIGOLE,14_table_02,1.0,,,inf,,,1441,2,1220,017053
CIMBERGO,14_table_02,1.0,,,inf,,,543,1,499,017054
CIVIDATE CAMUNO,14_table_02,1.0,,,inf,,,2655,2,2213,017055
COCCAGLIO,14_table_02,1.0,,,inf,,,8728,6,6626,017056
COLOGNE,14_table_02,1.0,,,inf,,,7562,5,5863,017059
COMEZZANO-CIZZAGO,14_table_02,1.0,,,inf,,,4029,3,3033,017060
CONCESIO,14_table_02,1.0,,SUP,,,,15623,14,12528,017061
CORTENO GOLGI,14_table_02,1.0,,,inf,,,1922,2,1838,017063
CORZANO,14_table_02,1.0,,,inf,,,1419,2,1178,017064
DELLO,14_table_02,1.0,,,inf,,,5578,5,4392,017066
EDOLO,14_table_02,1.0,,,inf,,,4411,5,3457,017068
ERBUSCO,14_table_02,1.0,,,inf,,,8668,7,6852,017069
FIESSE,14_table_02,1.0,,,inf,,,2003,2,1604,017071
GARDONE RIVIERA,14_table_02,1.0,,,inf,,,2608,3,2291,017074
GARDONE VAL TROMPIA,14_table_02,1.0,,,inf,,,11352,12,8970,017075
GARGNANO,14_table_02,1.0,,,inf,,,2731,3,2406,017076
GAVARDO,14_table_02,1.0,,,inf,,,12198,11,9535,017077
GHEDI,14_table_02,1.0,,SUP,,,,18518,14,14370,017078
GIANICO,14_table_02,1.0,,,inf,,,2121,2,1648,017079
IDRO,14_table_02,1.0,,,inf,,,1873,2,1603,017082
IRMA,14_table_02,1.0,,,inf,,,136,1,122,017084
ISEO,14_table_02,1.0,,,inf,,,8924,8,7608,017085
LAVENONE,14_table_02,1.0,,,inf,,,486,1,403,017087
LENO,14_table_02,1.0,,,inf,,,14243,11,11102,017088
LIMONE SUL GARDA,15_table_01,1.0,,,inf,,,1141,1,834,017089
LODRINO,15_table_01,1.0,,,inf,,,1624,2,1305,017090
LOGRATO,15_table_01,1.0,,,inf,,,3804,3,2870,017091
LONGHENA,15_table_01,1.0,,,inf,,,560,1,483,017093
LOZIO,15_table_01,1.0,,,inf,,,353,2,375,017095
LUMEZZANE,15_table_01,1.0,,SUP,,,,21410,26,17546,017096
MACLODIO,15_table_01,1.0,,,inf,,,1483,1,1081,017097
MAIRANO,15_table_01,1.0,,,inf,,,3492,3,2538,017099
MALEGNO,15_table_01,1.0,,,inf,,,1960,2,1603,017100
MANERBA DEL GARDA,15_table_01,1.0,,,inf,,,5415,5,4423,017102
MARCHENO,15_table_01,1.0,,,inf,,,4196,5,3357,017104
MARMENTINO,15_table_01,1.0,,,inf,,,665,1,623,017105
MARONE,15_table_01,1.0,,,inf,,,3114,3,2494,017106
MAZZANO,15_table_01,1.0,,,inf,,,12519,10,10227,017107
MONNO,15_table_01,1.0,,,inf,,,515,1,540,017110
MONTE ISOLA,15_table_01,1.0,,,inf,,,1628,2,1518,017111
MONTICELLI BRUSATI,15_table_01,1.0,,,inf,,,4568,4,3835,017112
MONTICHIARI,15_table_01,1.0,,SUP,,,,26088,18,19592,017113
MUSCOLINE,15_table_01,1.0,,,inf,,,2680,2,2247,017116
NIARDO,15_table_01,1.0,,,inf,,,1968,2,1545,017118
NUVOLENTO,15_table_01,1.0,,,inf,,,3865,3,3042,017119
NUVOLERA,15_table_01,1.0,,,inf,,,4695,4,3857,017120
OME,15_table_01,1.0,,,inf,,,3152,3,2632,017123
ORZINUOVI,15_table_01,1.0,,,inf,,,12372,10,9957,017125
ORZIVECCHI,15_table_01,1.0,,,inf,,,2430,2,1885,017126
PADENGHE SUL GARDA,15_table_01,1.0,,,inf,,,4773,5,3750,017129
PADERNO FRANCIACORTA,15_table_01,1.0,,,inf,,,3637,3,2940,017130
PAISCO LOVENO,15_table_01,1.0,,,inf,,,176,1,148,017131
PAITONE,15_table_01,1.0,,,inf,,,2170,2,1780,017132
PARATICO,15_table_01,1.0,,,inf,,,4884,4,4081,017134
PASSIRANO,15_table_01,1.0,,,inf,,,6914,6,5689,017136
PAVONE DEL MELLA,15_table_01,1.0,,,inf,,,2706,2,2010,017137
PERTICA ALTA,15_table_01,1.0,,,inf,,,557,1,474,017139
PERTICA BASSA,15_table_01,1.0,,,inf,,,576,1,466,017140
PEZZAZE,15_table_01,1.0,,,inf,,,1448,2,1269,017141
PIANCOGNO,15_table_01,1.0,,,inf,,,4742,4,3878,017206
PISOGNE,15_table_01,1.0,,,inf,,,7803,10,6887,017143
POLAVENO,15_table_01,1.0,,,inf,,,2464,3,2081,017144
POMPIANO,15_table_01,1.0,,,inf,,,3744,4,2842,017146
PONTEVICO,15_table_01,1.0,,,inf,,,6991,7,5711,017149
POZZOLENGO,15_table_01,1.0,,,inf,,,3556,3,2928,017151
PRALBOINO,15_table_01,1.0,,,inf,,,2803,2,2177,017152
PRESEGLIE,15_table_01,1.0,,,inf,,,1465,2,1290,017153
PREVALLE,15_table_01,1.0,,,inf,,,6815,5,5385,017155
PROVAGLIO D'ISEO,15_table_01,1.0,,,inf,,,7161,7,5816,017156
PUEGNAGO DEL GARDA,15_table_01,1.0,,,inf,,,3464,3,2891,017158
REMEDELLO,15_table_01,1.0,,,inf,,,3346,3,2523,017160
REZZATO,15_table_01,1.0,,,inf,,,13345,12,10670,017161
ROCCAFRANCA,15_table_01,1.0,,,inf,,,4835,3,3410,017162
ROE' VOLCIANO,15_table_01,1.0,,,inf,,,4366,4,3816,017164
RUDIANO,15_table_01,1.0,,,inf,,,5857,4,4344,017167
SABBIO CHIESE,15_table_01,1.0,,,inf,,,3932,3,3251,017168
SALE MARASINO,15_table_01,1.0,,,inf,,,3290,3,2942,017169
SALO',15_table_01,1.0,,,inf,,,10448,10,8873,017170
SAN FELICE DEL BENACO,15_table_01,1.0,,,inf,,,3465,3,2907,017171
SAN GERVASIO BRESCIANO,15_table_01,1.0,,,inf,,,2685,2,1860,017172
SAN PAOLO,15_table_01,1.0,,,inf,,,4417,4,3578,017138
SAREZZO,15_table_01,1.0,,,inf,,,13132,11,10590,017174
SAVIORE DELL'ADAMELLO,15_table_01,1.0,,,inf,,,802,2,700,017175
SELLERO,15_table_01,1.0,,,inf,,,1400,2,1200,017176
SENIGA,15_table_01,1.0,,,inf,,,1427,2,1153,017177
SERLE,15_table_01,1.0,,,inf,,,3060,5,2580,017178
SIRMIONE,15_table_01,1.0,,,inf,,,8257,6,6563,017179
SONICO,15_table_01,1.0,,,inf,,,1211,3,1213,017181
SULZANO,15_table_01,1.0,,,inf,,,1944,2,1626,017182
TAVERNOLE SUL MELLA,15_table_01,1.0,,,inf,,,1219,3,1033,017183
TEMU',15_table_01,1.0,,,inf,,#,1105,2,1086,017184
TIGNALE,15_table_01,1.0,,,inf,,,1158,3,1002,017185
TREMOSINE SUL GARDA,15_table_01,1.0,,,inf,,,2046,3,1614,017189
TREVISO BRESCIANO,15_table_01,1.0,,,inf,,,507,1,449,017191
URAGO D'OGLIO,15_table_01,1.0,,,inf,,,3733,3,2626,017192
VALLIO TERME,15_table_01,1.0,,,inf,,,1410,1,1268,017193
VALVESTINO,15_table_01,1.0,,,inf,,,173,1,189,017194
VEROLANUOVA,15_table_01,1.0,,,inf,,,8018,6,6646,017195
VEROLAVECCHIA,15_table_01,1.0,,,inf,,,3754,3,3069,017196
VESTONE,15_table_01,1.0,,,inf,,,4181,4,3392,017197
VEZZA D'OGLIO,15_table_01,1.0,,,inf,,,1473,2,1610,017198
VILLA CARCINA,16_table_01,1.0,,,inf,,,10694,9,8384,017199
VILLACHIARA,16_table_01,1.0,,,inf,,,1360,1,1080,017200
VILLANUOVA SUL CLISI,16_table_01,1.0,,,inf,,,5834,5,4758,017201
VIONE,16_table_01,1.0,,,inf,,,627,1,543,017202
VISANO,16_table_01,1.0,,,inf,,,1992,2,1504,017203
VOBARNO,16_table_01,1.0,,,inf,,,8257,9,6532,017204
ZONE,16_table_01,1.0,,,inf,,,1039,1,884,017205
ALBAVILLA,16_table_02,1.0,,,inf,,,6360,6,5475,013003
ALBESE CON CASSANO,16_table_02,1.0,,,inf,,,4189,4,3638,013004
ALBIOLO,16_table_02,1.0,,,inf,,,2725,2,2531,013005
ALSERIO,16_table_02,1.0,,,inf,,,1303,1,1145,013006
ALZATE BRIANZA,16_table_02,1.0,,,inf,,#,4842,4,4136,013007
ANZANO DEL PARCO,16_table_02,1.0,,,inf,,,1755,2,1474,013009
ARGEGNO,16_table_02,1.0,,,inf,,#,679,1,642,013011
AROSIO,16_table_02,1.0,,,inf,,,5114,4,4031,013012
BELLAGIO,16_table_02,1.0,,,inf,,,3577,4,3608,013250
BENE LARIO,16_table_02,1.0,,,inf,,,330,1,533,013021
BINAGO,16_table_02,1.0,,,inf,,,4824,5,4052,013023
BIZZARONE,16_table_02,1.0,,,inf,,,1725,2,1376,013024
BLEVIO,16_table_02,1.0,,,inf,,,1091,2,844,013026
BREGNANO,16_table_02,1.0,,,inf,,,6384,4,5595,013028
BRENNA,16_table_02,1.0,,,inf,,,2177,2,1868,013029
CABIATE,16_table_02,1.0,,,inf,,,7405,6,6092,013035
CADORAGO,16_table_02,1.0,,,inf,,,7931,6,6602,013036
CANTU',16_table_02,1.0,,SUP,,,,39382,34,32763,013041
CANZO,16_table_02,1.0,,,inf,,,5111,4,4390,013042
CAPIAGO INTIMIANO,16_table_02,1.0,,,inf,,,5474,4,4672,013043
CARIMATE,16_table_02,1.0,,,inf,,,4429,4,3806,013046
CARUGO,16_table_02,1.0,,,inf,,,6569,5,5312,013048
CASLINO D'ERBA,16_table_02,1.0,,,inf,,,1644,2,1344,013052
CASSINA RIZZARDI,16_table_02,1.0,,,inf,,,3294,3,2751,013055
CASTELMARTE,16_table_02,1.0,,,inf,,,1265,1,1045,013058
CASTELNUOVO BOZZENTE,16_table_02,1.0,,,inf,,,903,1,755,013059
CERANO D'INTELVI,16_table_02,1.0,,,inf,,,572,1,580,013063
CERMENATE,16_table_02,1.0,,,inf,,,9274,9,8292,013064
CIRIMIDO,16_table_02,1.0,,,inf,,,2121,2,1659,013068
CLAINO CON OSTENO,16_table_02,1.0,,,inf,,,539,1,475,013071
COLONNO,16_table_02,1.0,,,inf,,,447,1,340,013074
COLVERDE,16_table_02,1.0,,,inf,,,5451,5,4949,013251
CORRIDO,16_table_02,1.0,,,inf,,,847,1,668,013077
CREMIA,16_table_02,1.0,,,inf,,,691,1,580,013083
CUCCIAGO,16_table_02,1.0,,,inf,,,3442,3,3005,013084
CUSINO,16_table_02,1.0,,,inf,,,218,1,206,013085
DIZZASCO,16_table_02,1.0,,,inf,,,636,1,496,013087
DONGO,16_table_02,1.0,,,inf,,,3233,3,2863,013090
FAGGETO LARIO,16_table_02,1.0,,,inf,,,1148,2,973,013098
FENEGRO',16_table_02,1.0,,,inf,,,3230,3,2816,013100
FIGINO SERENZA,16_table_02,1.0,,,inf,,,4968,5,4130,013101
FINO MORNASCO,16_table_02,1.0,,,inf,,,9829,8,8323,013102
GARZENO,16_table_02,1.0,,,inf,,,676,2,669,013106
GRANDATE,16_table_02,1.0,,,inf,,,2814,3,2400,013110
LAINO,16_table_02,1.0,,,inf,,,544,1,554,013120
LEZZENO,16_table_02,1.0,,,inf,,,1962,2,1541,013126
LIMIDO COMASCO,16_table_02,1.0,,,inf,,,3864,3,3233,013128
LIVO,16_table_02,1.0,,,inf,,,165,1,133,013130
LOCATE VARESINO,16_table_02,1.0,,,inf,,,4303,4,3928,013131
LOMAZZO,16_table_02,1.0,,,inf,,,9944,7,8160,013133
LONGONE AL SEGRINO,16_table_02,1.0,,,inf,,,1947,2,1636,013134
LUISAGO,16_table_02,1.0,,,inf,,,2730,2,2316,013135
LURAGO MARINONE,16_table_02,1.0,,,inf,,,2553,2,2240,013137
LURATE CACCIVIO,16_table_02,1.0,,,inf,,,9708,8,8382,013138
MAGREGLIO,16_table_02,1.0,,,inf,,,687,1,572,013139
MARIANO COMENSE,16_table_02,1.0,,SUP,,,,25182,20,20398,013143
MASLIANICO,16_table_02,1.0,,,inf,,,3131,3,3011,013144
MENAGGIO,16_table_02,1.0,,,inf,,,3035,4,3094,013145
MERONE,16_table_02,1.0,,,inf,,,4058,3,3282,013147
MOLTRASIO,16_table_02,1.0,,,inf,,,1544,2,1403,013152
MONGUZZO,16_table_02,1.0,,,inf,,#,2367,2,1895,013153
MONTANO LUCINO,16_table_02,1.0,,,inf,,,5340,4,4566,013154
MUSSO,16_table_02,1.0,,,inf,,,934,1,895,013160
OLTRONA DI SAN MAMETTE,16_table_02,1.0,,,inf,,,2373,2,2055,013169
PEGLIO,16_table_02,1.0,,,inf,,,189,1,161,013178
POGNANA LARIO,16_table_02,1.0,,,inf,,,667,1,557,013186
PONTE LAMBRO,16_table_02,1.0,,,inf,,,4242,4,3327,013188
PROSERPIO,17_table_01,1.0,,,inf,,,940,1,779,013192
REZZAGO,17_table_01,1.0,,,inf,,,308,1,264,013195
RODERO,17_table_01,1.0,,,inf,,,1259,1,1371,013197
ROVELLASCA,17_table_01,1.0,,,inf,,,7923,7,6614,013201
SALA COMACINA,17_table_01,1.0,,,inf,,,481,1,484,013203
SAN NAZZARO VAL CAVARGNA,17_table_01,1.0,,,inf,,,278,1,301,013207
SCHIGNANO,17_table_01,1.0,,,inf,,,884,1,1016,013211
SENNA COMASCO,17_table_01,1.0,,,inf,,,3161,3,2661,013212
SOLBIATE CON CAGNO,17_table_01,1.0,,,inf,,,4631,4,3794,013255
SORICO,17_table_01,1.0,,,inf,,,1246,2,1013,013216
STAZZONA,17_table_01,1.0,,,inf,,,613,1,548,013218
TORNO,17_table_01,1.0,,,inf,,,1106,1,1003,013223
TREMEZZINA,17_table_01,1.0,,,inf,,,5027,6,4678,013252
UGGIATE CON RONAGO,17_table_01,1.0,,,inf,*,,6667,5,6480,013256
VAL REZZO,17_table_01,1.0,,,inf,,,162,1,175,013233
VALBRONA,17_table_01,1.0,,,inf,,,2625,2,2222,013229
VALMOREA,17_table_01,1.0,,,inf,,,2583,2,2162,013232
VENIANO,17_table_01,1.0,,,inf,,,3078,2,2490,013238
VERCANA,17_table_01,1.0,,,inf,,,743,1,614,013239
VERTEMATE CON MINOPRIO,17_table_01,1.0,,,inf,,,4118,4,3484,013242
VILLA GUARDIA,17_table_01,1.0,,,inf,,,7877,6,6262,013245
ZELBIO,17_table_01,1.0,,,inf,,,182,1,238,013246
ACQUANEGRA CREMONESE,17_table_02,1.0,,,inf,,,1123,2,990,019001
AGNADELLO,17_table_02,1.0,,,inf,,,3842,3,3006,019002
ANNICCO,17_table_02,1.0,,,inf,,,1983,3,1506,019003
BAGNOLO CREMASCO,17_table_02,1.0,,,inf,,,4931,4,3884,019005
BONEMERSE,17_table_02,1.0,,,inf,,,1464,2,1178,019006
BORDOLANO,17_table_02,1.0,,,inf,,,563,1,456,019007
CALVATONE,17_table_02,1.0,,,inf,,,1174,2,1046,019009
CAMISANO,17_table_02,1.0,,,inf,,,1237,1,1135,019010
CAPPELLA CANTONE,17_table_02,1.0,,,inf,,,543,1,434,019013
CAPPELLA DE' PICENARDI,17_table_02,1.0,,,inf,,,416,1,358,019014
CAPRALBA,17_table_02,1.0,,,inf,,,2267,3,2029,019015
CASALBUTTANO ED UNITI,17_table_02,1.0,,,inf,,,3652,6,3117,019016
CASALE CREMASCO-VIDOLASCO,17_table_02,1.0,,,inf,,,1829,2,1352,019017
CASALETTO CEREDANO,17_table_02,1.0,,,inf,,,1151,1,932,019018
CASALETTO DI SOPRA,17_table_02,1.0,,,inf,,,515,1,408,019019
CASALETTO VAPRIO,17_table_02,1.0,,,inf,,,1771,2,1372,019020
CASALMAGGIORE,17_table_02,1.0,,,inf,,,14974,16,11909,019021
CASALMORANO,17_table_02,1.0,,,inf,,,1621,2,1232,019022
CASTEL GABBIANO,17_table_02,1.0,,,inf,,,458,1,357,019024
CASTELDIDONE,17_table_02,1.0,,,inf,,,569,1,471,019023
CASTELLEONE,17_table_02,1.0,,,inf,,,9270,8,7711,019025
CASTELVERDE,17_table_02,1.0,,,inf,,,5549,5,4683,019026
CASTELVISCONTI,17_table_02,1.0,,,inf,,,295,1,247,019027
CELLA DATI,17_table_02,1.0,,,inf,,,486,1,405,019028
CHIEVE,17_table_02,1.0,,,inf,,,2235,2,1855,019029
CICOGNOLO,17_table_02,1.0,,,inf,,,915,1,754,019030
CINGIA DE' BOTTI,17_table_02,1.0,,,inf,,,1149,2,1022,019031
CORTE DE' CORTESI CON CIGNONE,17_table_02,1.0,,,inf,,,1061,2,913,019032
CREMONA,17_table_02,1.0,CAP,SUP,,,,70841,76,56458,019036
CROTTA D'ADDA,17_table_02,1.0,,,inf,,,620,1,447,019038
CUMIGNANO SUL NAVIGLIO,17_table_02,1.0,,,inf,,,408,1,311,019039
FIESCO,17_table_02,1.0,,,inf,,,1200,1,992,019043
FORMIGARA,17_table_02,1.0,,,inf,,,1001,2,860,019044
GABBIONETA BINANUOVA,17_table_02,1.0,,,inf,,,859,2,642,019045
GADESCO PIEVE DELMONA,17_table_02,1.0,,,inf,,,1889,2,1521,019046
GENIVOLTA,17_table_02,1.0,,,inf,,,1127,1,906,019047
GERRE DE' CAPRIOLI,17_table_02,1.0,,,inf,,,1306,2,1059,019048
GOMBITO,17_table_02,1.0,,,inf,,,617,1,601,019049
GRONTARDO,17_table_02,1.0,,,inf,,,1489,2,1103,019050
GRUMELLO CREMONESE ED UNITI,17_table_02,1.0,,,inf,,,1692,3,1548,019051
GUSSOLA,17_table_02,1.0,,,inf,,,2610,3,2020,019052
ISOLA DOVARESE,17_table_02,1.0,,,inf,,,1091,2,1020,019053
MADIGNANO,17_table_02,1.0,,,inf,,,2760,3,2302,019055
MALAGNINO,17_table_02,1.0,,,inf,,,1719,2,1440,019056
MARTIGNANA DI PO,17_table_02,1.0,,,inf,,,2045,2,1618,019057
MONTE CREMASCO,17_table_02,1.0,,,inf,,,2241,2,1742,019058
MONTODINE,17_table_02,1.0,,,inf,,,2441,3,2088,019059
MOSCAZZANO,17_table_02,1.0,,,inf,,,714,1,610,019060
OFFANENGO,17_table_02,1.0,,,inf,,,5927,5,4773,019062
OLMENETA,17_table_02,1.0,,,inf,,,905,1,781,019063
OSTIANO,18_table_01,1.0,,,inf,,,2699,3,2204,019064
PADERNO PONCHIELLI,18_table_01,1.0,,,inf,,,1345,2,1229,019065
PANDINO,18_table_01,1.0,,,inf,,,8908,8,6835,019067
PESCAROLO ED UNITI,18_table_01,1.0,,,inf,,,1516,2,1156,019069
PESSINA CREMONESE,18_table_01,1.0,,,inf,,,573,1,496,019070
PIADENA DRIZZONA,18_table_01,1.0,,,inf,,,3967,4,3233,019116
PIERANICA,18_table_01,1.0,,,inf,,,1120,1,897,019073
PIEVE D'OLMI,18_table_01,1.0,,,inf,,,1233,1,1102,019074
QUINTANO,18_table_01,1.0,,,inf,,,894,1,764,019078
RICENGO,18_table_01,1.0,,,inf,,,1738,2,1364,019079
RIPALTA ARPINA,18_table_01,1.0,,,inf,,,1001,1,817,019080
RIPALTA CREMASCA,18_table_01,1.0,,,inf,,,3414,5,2874,019081
RIPALTA GUERINA,18_table_01,1.0,,,inf,,,532,1,456,019082
RIVAROLO DEL RE ED UNITI,18_table_01,1.0,,,inf,,,1824,3,1422,019083
ROMANENGO,18_table_01,1.0,,,inf,,,3190,2,2467,019086
SALVIROLA,18_table_01,1.0,,,inf,,,1162,1,911,019087
SAN BASSANO,18_table_01,1.0,,,inf,,,2105,4,1586,019088
SCANDOLARA RAVARA,18_table_01,1.0,,,inf,,,1297,2,1262,019092
SCANDOLARA RIPA D'OGLIO,18_table_01,1.0,,,inf,,,532,1,397,019093
SERGNANO,18_table_01,1.0,,,inf,,,3505,4,2835,019094
SOLAROLO RAINERIO,18_table_01,1.0,,,inf,,,900,2,668,019096
SORESINA,18_table_01,1.0,,,inf,,,8744,9,6569,019098
SOSPIRO,18_table_01,1.0,,,inf,,,3050,5,2653,019099
SPINADESCO,18_table_01,1.0,,,inf,,,1476,2,1144,019100
SPINEDA,18_table_01,1.0,,,inf,,,600,1,506,019101
STAGNO LOMBARDO,18_table_01,1.0,,,inf,,,1429,2,1444,019103
TORLINO VIMERCATI,18_table_01,1.0,,,inf,,,480,1,372,019105
TORNATA,18_table_01,1.0,,,inf,,,426,2,319,019106
TORRE DE' PICENARDI,18_table_01,1.0,,,inf,,,2103,2,1905,019107
TORRICELLA DEL PIZZO,18_table_01,1.0,,,inf,*,,574,1,453,019108
TRIGOLO,18_table_01,1.0,,,inf,,,1638,2,1300,019110
VESCOVATO,18_table_01,1.0,,,inf,,,3817,4,3072,019113
VOLONGO,18_table_01,1.0,,,inf,,,463,1,384,019114
VOLTIDO,18_table_01,1.0,,,inf,,,328,1,313,019115
ABBADIA LARIANA,18_table_02,1.0,,,inf,,,3202,3,2865,097001
AIRUNO,18_table_02,1.0,,,inf,,,2832,3,2243,097002
ANNONE DI BRIANZA,18_table_02,1.0,,,inf,,,2285,2,1912,097003
BARZAGO,18_table_02,1.0,,,inf,,,2406,2,1947,097005
BARZIO,18_table_02,1.0,,,inf,,,1260,2,1077,097007
BOSISIO PARINI,18_table_02,1.0,,,inf,,,3312,3,2762,097009
BULCIAGO,18_table_02,1.0,,,inf,,,2866,3,2233,097011
CARENNO,18_table_02,1.0,,,inf,,,1382,2,1271,097014
CASARGO,18_table_02,1.0,,,inf,,,837,1,841,097015
CASATENOVO,18_table_02,1.0,,,inf,,,13183,12,10888,097016
CASSAGO BRIANZA,18_table_02,1.0,,,inf,,,4370,3,3497,097017
CASSINA VALSASSINA,18_table_02,1.0,,,inf,,,529,1,448,097018
CASTELLO DI BRIANZA,18_table_02,1.0,,,inf,,,2602,2,2130,097019
CIVATE,18_table_02,1.0,,,inf,,,3713,3,3000,097022
COLLE BRIANZA,18_table_02,1.0,,,inf,,,1773,2,1521,097024
CORTENOVA,18_table_02,1.0,,,inf,,,1147,2,1086,097025
COSTA MASNAGA,18_table_02,1.0,,,inf,,,4758,4,3667,097026
CREMELLA,18_table_02,1.0,,,inf,,,1679,2,1370,097028
DERVIO,18_table_02,1.0,,,inf,,,2586,3,2215,097030
DOLZAGO,18_table_02,1.0,,,inf,,,2518,2,2047,097031
DORIO,18_table_02,1.0,,,inf,,,321,1,335,097032
ERVE,18_table_02,1.0,,,inf,,,686,1,613,097034
GARBAGNATE MONASTERO,18_table_02,1.0,,,inf,,,2533,2,1931,097037
IMBERSAGO,18_table_02,1.0,,,inf,,,2480,2,2162,097039
INTROBIO,18_table_02,1.0,,,inf,,,1919,2,1684,097040
LIERNA,18_table_02,1.0,,,inf,,,2167,2,2144,097043
LOMAGNA,18_table_02,1.0,,,inf,,,5026,4,4013,097044
MALGRATE,18_table_02,1.0,,,inf,,,4296,4,3323,097045
MARGNO,18_table_02,1.0,,,inf,,,375,1,323,097047
MERATE,18_table_02,1.0,,,inf,,,14661,15,12239,097048
MOGGIO,18_table_02,1.0,,,inf,,,473,1,412,097050
MOLTENO,18_table_02,1.0,,,inf,,,3534,3,2848,097051
MONTE MARENZO,18_table_02,1.0,,,inf,,,1868,3,1547,097052
MONTICELLO BRIANZA,18_table_02,1.0,,,inf,,,4153,5,3471,097054
OGGIONO,18_table_02,1.0,,,inf,,,9043,8,7293,097057
OSNAGO,18_table_02,1.0,,,inf,,,4742,4,3750,097061
PADERNO D'ADDA,18_table_02,1.0,,,inf,,,3846,3,2941,097062
PAGNONA,18_table_02,1.0,,,inf,,,328,1,294,097063
PARLASCO,18_table_02,1.0,,,inf,,,136,1,139,097064
PASTURO,18_table_02,1.0,,,inf,,,1933,2,1634,097065
PRIMALUNA,19_table_01,1.0,,,inf,,,2246,2,2067,097070
ROGENO,19_table_01,1.0,,,inf,,,3058,3,2544,097072
SIRONE,19_table_01,1.0,,,inf,,,2305,2,1833,097075
SUELLO,19_table_01,1.0,,,inf,,,1765,2,1416,097078
TACENO,19_table_01,1.0,,,inf,,,539,1,456,097079
VALGREGHENTINO,19_table_01,1.0,,,inf,,,3405,3,2875,097082
VALMADRERA,19_table_01,1.0,,,inf,,,11161,9,9148,097083
VERCURAGO,19_table_01,1.0,,,inf,,,2734,3,2311,097086
VERDERIO,19_table_01,1.0,,,inf,,,5508,4,4583,097091
