comune,ref,numero_comuni,comuni_capoluogo,comuni_sup_15000,comuni_inf_15000,comuni_rinnovo_motivi_diversi,comuni_sciolti_rinnovo,popolazione_2021,sezioni_2023,elettori_2023,CODICE ISTAT
LERMA,02_table_01,1.0,,,inf,,,801,1,762,006088
LU E CUCCARO MONFERRATO,02_table_01,1.0,,,inf,,,1330,2,1335,006193
MASIO,02_table_01,1.0,,,inf,,,1278,2,1042,006091
MELAZZO,02_table_01,1.0,,,inf,,,1258,1,1011,006092
MIRABELLO MONFERRATO,02_table_01,1.0,,,inf,,,1211,2,1104,006094
MOMBELLO MONFERRATO,02_table_01,1.0,,,inf,,,925,2,888,006097
MOMPERONE,02_table_01,1.0,,,inf,,,195,1,177,006098
MONGIARDINO LIGURE,02_table_01,1.0,,,inf,,,154,1,399,006100
MONTALDEO,02_table_01,1.0,,,inf,,,232,1,221,006103
MONTECHIARO D'ACQUI,02_table_01,1.0,,,inf,,,501,2,416,006106
MONTEGIOCO,02_table_01,1.0,,,inf,,,284,1,250,006107
MONTEMARZINO,02_table_01,1.0,,,inf,,,311,1,246,006108
MORNESE,02_table_01,1.0,,,inf,,,710,1,623,006111
MORSASCO,02_table_01,1.0,,,inf,,,606,1,532,006112
MURISENGO,02_table_01,1.0,,,inf,,,1291,2,1079,006113
OCCIMIANO,02_table_01,1.0,,,inf,,,1242,2,1138,006115
ODALENGO PICCOLO,02_table_01,1.0,,,inf,,,239,1,177,006117
ORSARA BORMIDA,02_table_01,1.0,,,inf,,,400,1,445,006119
OTTIGLIO,02_table_01,1.0,,,inf,,,594,1,491,006120
OVADA,02_table_01,1.0,,,inf,,,10873,11,9240,006121
OVIGLIO,02_table_01,1.0,,,inf,,,1196,2,999,006122
OZZANO MONFERRATO,02_table_01,1.0,,,inf,,,1366,2,1117,006123
PADERNA,02_table_01,1.0,,,inf,,,198,1,168,006124
PARETO,02_table_01,1.0,,,inf,,,517,2,491,006125
PARODI LIGURE,02_table_01,1.0,,,inf,,,614,3,652,006126
PASTURANA,02_table_01,1.0,,,inf,,,1286,1,1061,006127
PECETTO DI VALENZA,02_table_01,1.0,,,inf,,,1166,2,1199,006128
PONTESTURA,02_table_01,1.0,,,inf,,,1312,3,1233,006133
PONZANO MONFERRATO,02_table_01,1.0,,,inf,,,315,1,255,006135
PONZONE,02_table_01,1.0,,,inf,,,999,2,832,006136
POZZOL GROPPO,02_table_01,1.0,,,inf,,,296,2,263,006137
POZZOLO FORMIGARO,02_table_01,1.0,,,inf,,,4513,5,3959,006138
PRASCO,02_table_01,1.0,,,inf,,,479,1,446,006139
PREDOSA,02_table_01,1.0,,,inf,,,1895,3,2169,006140
QUARGNENTO,02_table_01,1.0,,,inf,,,1347,1,1180,006141
QUATTORDIO,02_table_01,1.0,,,inf,,,1497,2,1382,006142
RICALDONE,02_table_01,1.0,,,inf,,,612,1,650,006143
RIVARONE,02_table_01,1.0,,,inf,,,393,1,347,006145
ROCCAFORTE LIGURE,02_table_01,1.0,,,inf,,,123,1,277,006146
ROCCHETTA LIGURE,02_table_01,1.0,,,inf,,,218,1,301,006148
SALA MONFERRATO,02_table_01,1.0,,,inf,,,340,1,338,006150
SALE,02_table_01,1.0,,,inf,,,3916,4,3699,006151
SAN CRISTOFORO,02_table_01,1.0,,,inf,,,542,1,466,006152
SAN GIORGIO MONFERRATO,02_table_01,1.0,,,inf,,,1201,2,1094,006153
SAN SEBASTIANO CURONE,02_table_01,1.0,,,inf,,,525,1,371,006155
SARDIGLIANO,02_table_01,1.0,,,inf,,,386,1,400,006157
